2007-08-01,200708,2007,08,01,1,1,1,1,1
2007-08-02,200708,2007,08,02,1,1,1,1,1
2007-08-03,200708,2007,08,03,1,1,1,1,1
2007-08-04,200708,2007,08,04,1,1,1,1,1
2007-08-05,200708,2007,08,05,1,1,1,1,1
2007-08-06,200708,2007,08,06,2,1,1,1,1
2007-08-07,200708,2007,08,07,2,1,1,1,1
2007-08-08,200708,2007,08,08,2,1,1,1,1
2007-08-09,200708,2007,08,09,2,1,1,1,1
2007-08-20,200708,2007,08,20,2,1,1,1,1
2007-08-21,200708,2007,08,21,2,1,1,1,1
2007-08-22,200708,2007,08,22,2,1,1,1,1
2007-08-23,200708,2007,08,23,2,1,1,1,1
2007-08-24,200708,2007,08,24,2,1,1,1,1
2007-08-25,200708,2007,08,25,2,1,1,1,1
2007-08-26,200708,2007,08,26,2,1,1,1,1
2007-08-27,200708,2007,08,27,2,1,1,1,1
2007-08-28,200708,2007,08,28,2,1,1,1,1
2007-08-29,200708,2007,08,29,2,1,1,1,1
2007-08-30,200708,2007,08,30,2,1,1,1,1
2007-08-31,200708,2007,08,31,2,1,1,1,1
2007-09-01,200709,2007,09,01,1,1,1,1,1
2007-09-02,200709,2007,09,02,1,1,1,1,1
2007-09-03,200709,2007,09,03,1,1,1,1,1
2007-09-04,200709,2007,09,04,1,1,1,1,1
2007-09-05,200709,2007,09,05,1,1,1,1,1
2007-09-06,200709,2007,09,06,2,1,1,1,1
2007-09-07,200709,2007,09,07,2,1,1,1,1
2007-09-08,200709,2007,09,08,2,1,1,1,1
2007-09-09,200709,2007,09,09,2,1,1,1,1
2007-09-20,200709,2007,09,20,2,1,1,1,1
2007-09-21,200709,2007,09,21,2,1,1,1,1
2007-09-22,200709,2007,09,22,2,1,1,1,1
2007-09-23,200709,2007,09,23,2,1,1,1,1
2007-09-24,200709,2007,09,24,2,1,1,1,1
2007-09-25,200709,2007,09,25,2,1,1,1,1
2007-09-26,200709,2007,09,26,2,1,1,1,1
2007-09-27,200709,2007,09,27,2,1,1,1,1
2007-09-28,200709,2007,09,28,2,1,1,1,1
2007-09-29,200709,2007,09,29,2,1,1,1,1
2007-09-30,200709,2007,09,30,2,1,1,1,1
2007-09-31,200709,2007,09,31,2,1,1,1,1
